Rank,Category,No.
1,Devices & Integrations,1153
2,Connected Things,425
3,General Discussion,240
4,Community Created Device Types,176
5,SmartApps & Automations,160
6,Projects & Stories,150
7,Community Created SmartApps,114
8,SmartThings (Samsung Connect),77
9,Deals,77
10,Automation Ideas,73
11,Writing Device Types,68
12,Apps & Clients,60
13,Writing SmartApps,44
14,webCoRE,35
15,FAQ,25
16,Android,20
17,Device Ideas,19
18,Features & Feedback,12
19,iOS,12
20,Announcements,11
21,How-To,9
22,Ideas and Suggestions,8
23,Meta,8
24,Groups & Events,7
25,Hub Firmware Beta,6
26,Wiki,3
27,Hub Firmware Release Notes,3
28,Windows,1
29,Beta Programs,1
30,Rules API,1
31,Device Integrations,1
32,Capability Type Suggestions,1
