No.,Category,Title,URL,Replies,Views
1,Groups & Events,Public calendar for SmartThings developer events,https://community.smartthings.com/t/public-calendar-for-smartthings-developer-events/10209,14,8795
2,General Discussion,“Can’t load your screen” message on a single device,https://community.smartthings.com/t/can-t-load-your-screen-message-on-a-single-device/196830,2,26
3,Hub Firmware Beta,Hub Firmware Beta 0.31.x,https://community.smartthings.com/t/hub-firmware-beta-0-31-x/196001,55,981
4,Projects & Stories,Just finish my first custom panel,https://community.smartthings.com/t/just-finish-my-first-custom-panel/196883,4,27
5,General Discussion,"My devices, handlers and smartapps are goofed up (internal 500 error)",https://community.smartthings.com/t/my-devices-handlers-and-smartapps-are-goofed-up-internal-500-error/196898,1,3
6,Devices & Integrations,Replacing a bad Z-Wave switch using Replace,https://community.smartthings.com/t/replacing-a-bad-z-wave-switch-using-replace/166426,9,584
7,Projects & Stories,DSC -> EVL-3(4) -> Alarmserver -> Smartthings,https://community.smartthings.com/t/dsc-evl-3-4-alarmserver-smartthings/36604,1939,74153
8,Projects & Stories,[RELEASE] ST_Anything - Arduino/ESP8266/ESP32,https://community.smartthings.com/t/release-st-anything-arduino-esp8266-esp32/77707,3774,110708
9,Projects & Stories,"Expandable Zigbee Repeater Solution (With Temperature, Humidity, Pressure and Light sensors)",https://community.smartthings.com/t/expandable-zigbee-repeater-solution-with-temperature-humidity-pressure-and-light-sensors/123815,394,15171
10,Community Created SmartApps,[RELEASE] MyQ Lite Door and Lamp Control (for Liftmaster/Chamberlain),https://community.smartthings.com/t/release-myq-lite-door-and-lamp-control-for-liftmaster-chamberlain/49150,1966,148797
11,Apps & Clients,"My rooms and devices have gone bonkers (June 3, 2020)",https://community.smartthings.com/t/my-rooms-and-devices-have-gone-bonkers-june-3-2020/196100,29,216
12,SmartApps & Automations,Node-Red and Smartthings,https://community.smartthings.com/t/node-red-and-smartthings/27063,25,7328
13,Devices & Integrations,Mesh WiFi for the UK?,https://community.smartthings.com/t/mesh-wifi-for-the-uk/195977,7,105
14,Devices & Integrations,How to update a virtual device using the arduino library,https://community.smartthings.com/t/how-to-update-a-virtual-device-using-the-arduino-library/166697,9,171
15,Devices & Integrations,Electric Fireplace Control,https://community.smartthings.com/t/electric-fireplace-control/108521,21,5793
16,Devices & Integrations,Sonos Voice Notification Issues (Sound doesn't resume when using TV),https://community.smartthings.com/t/sonos-voice-notification-issues-sound-doesnt-resume-when-using-tv/196798,8,55
17,Devices & Integrations,Phin Pool / Spa Monitor,https://community.smartthings.com/t/phin-pool-spa-monitor/196888,1,13
18,Community Created Device Types,Cooper Aspire Scene Controller RFWC5 and RFWC5D Device Handler [beta release],https://community.smartthings.com/t/cooper-aspire-scene-controller-rfwc5-and-rfwc5d-device-handler-beta-release/87198,174,10193
19,Community Created SmartApps,[RELEASE] Trend Setter,https://community.smartthings.com/t/release-trend-setter/31286,490,41341
20,Connected Things,"Samsung Washer, Smartthings Hub V3 and Alexa",https://community.smartthings.com/t/samsung-washer-smartthings-hub-v3-and-alexa/196845,10,46
21,General Discussion,Some Time-Based Restrictions Suddenly Being Ignored (After Working Fine For Years),https://community.smartthings.com/t/some-time-based-restrictions-suddenly-being-ignored-after-working-fine-for-years/196526,6,76
22,Community Created Device Types,'Fibaro Z-Wave FGK-101 Temperature & Door/Window Sensor' Full Support Handler,https://community.smartthings.com/t/fibaro-z-wave-fgk-101-temperature-door-window-sensor-full-support-handler/5483,525,30402
23,Community Created Device Types,Rheem EcoNet,https://community.smartthings.com/t/rheem-econet/18791,295,33873
24,Devices & Integrations,Wyze motion sensor (sense) - integration,https://community.smartthings.com/t/wyze-motion-sensor-sense-integration/183012,16,2888
25,Deals,"Amazon 10 day Summer Sale starts June 22, 2020",https://community.smartthings.com/t/amazon-10-day-summer-sale-starts-june-22-2020/196880,2,57
26,FAQ,"Bulbs, switches and sensors, oh my....what to buy (device class features FAQ)",https://community.smartthings.com/t/bulbs-switches-and-sensors-oh-my-what-to-buy-device-class-features-faq/33955,105,36363
27,Projects & Stories,Project management with built-in timesheet recommendation,https://community.smartthings.com/t/project-management-with-built-in-timesheet-recommendation/196878,1,18
28,Groups & Events,"WWDC: Apple’s virtual Worldwide Developers Conference June 22, 2020",https://community.smartthings.com/t/wwdc-apple-s-virtual-worldwide-developers-conference-june-22-2020/192644,2,59
29,Connected Things,ST-compatible RGBW LED Strip Controller Reviews (2020),https://community.smartthings.com/t/st-compatible-rgbw-led-strip-controller-reviews-2020/196875,2,34
30,Devices & Integrations,Switchbot and smartthings,https://community.smartthings.com/t/switchbot-and-smartthings/183767,13,587
31,Connected Things,Device Handler for Aqara Wired Wall Switch,https://community.smartthings.com/t/device-handler-for-aqara-wired-wall-switch/101062,290,21259
32,Community Created SmartApps,[RELEASE] Garadget (Connect),https://community.smartthings.com/t/release-garadget-connect/38982,75,10819
33,Community Created Device Types,"[RELEASE] Xiaomi Mijia Smart Light Sensor (DTH Updated May 30, 2020)",https://community.smartthings.com/t/release-xiaomi-mijia-smart-light-sensor-dth-updated-may-30-2020/189266,55,1079
34,Devices & Integrations,Smartthings Multipurpose Sensor - unreliable?,https://community.smartthings.com/t/smartthings-multipurpose-sensor-unreliable/50303,26,3495
35,Community Created SmartApps,[BETA] Community SmartApp Installer,https://community.smartthings.com/t/beta-community-smartapp-installer/118348,324,26942
36,SmartApps & Automations,Play a custom mp3 (song) file on a siren when alarm goes off,https://community.smartthings.com/t/play-a-custom-mp3-song-file-on-a-siren-when-alarm-goes-off/196865,2,25
37,Community Created Device Types,Octoprint Server device handler,https://community.smartthings.com/t/octoprint-server-device-handler/188446,29,658
38,Community Created Device Types,[RELEASE] New Virtual Thermostat With Device,https://community.smartthings.com/t/release-new-virtual-thermostat-with-device/112838,138,12546
39,SmartApps & Automations,Why only 8 SmartApps (2020),https://community.smartthings.com/t/why-only-8-smartapps-2020/196147,20,401
40,Devices & Integrations,Why is Logitech Not An Option When Adding Device Using SmartThings (Samsung Connect) app,https://community.smartthings.com/t/why-is-logitech-not-an-option-when-adding-device-using-smartthings-samsung-connect-app/180555,6,755
41,General Discussion,Odd Events,https://community.smartthings.com/t/odd-events/196128,25,231
42,Devices & Integrations,“Panic button” ideas for a handicapped dude?,https://community.smartthings.com/t/panic-button-ideas-for-a-handicapped-dude/183643,11,243
43,Community Created Device Types,[RELEASE] Enhanced ZigBee Keypad Device Handler,https://community.smartthings.com/t/release-enhanced-zigbee-keypad-device-handler/124776,188,29832
44,Community Created SmartApps,[MODIFIED] Netatmo Weather Station,https://community.smartthings.com/t/modified-netatmo-weather-station/78133,470,27022
45,Device Ideas,Garden Lights (UK),https://community.smartthings.com/t/garden-lights-uk/98578,37,1580
46,Devices & Integrations,Somfy Window Shades & SmartThings Integration Guide for the year 2020! (ZRTSI),https://community.smartthings.com/t/somfy-window-shades-smartthings-integration-guide-for-the-year-2020-zrtsi/195842,4,200
47,Community Created Device Types,[BETA v0515] Hampton Bay Zigbee Ceiling Fan/Light Controller,https://community.smartthings.com/t/beta-v0515-hampton-bay-zigbee-ceiling-fan-light-controller/85084,963,49410
48,Devices & Integrations,How to pair Ikea Fyrtur blinds?,https://community.smartthings.com/t/how-to-pair-ikea-fyrtur-blinds/185055,14,958
49,Community Created SmartApps,[Released] ADT Tools 2 for Smartthings ADT alarm sytsems,https://community.smartthings.com/t/released-adt-tools-2-for-smartthings-adt-alarm-sytsems/124951,432,15576
50,Devices & Integrations,Aurora Aone / Samotech / Hue -> Smartthings,https://community.smartthings.com/t/aurora-aone-samotech-hue-smartthings/196862,1,21
51,Community Created Device Types,[RELEASE] My Next ManagerV2 for your Nest® products,https://community.smartthings.com/t/release-my-next-managerv2-for-your-nest-products/114903,263,29846
52,Community Created Device Types,[RELEASE] Integrating Smart Electric Meter in Texas with Smartthings using Rainforest EMU2,https://community.smartthings.com/t/release-integrating-smart-electric-meter-in-texas-with-smartthings-using-rainforest-emu2/172588,2,296
53,Projects & Stories,How do you get your graphs for energy/temp sensors?,https://community.smartthings.com/t/how-do-you-get-your-graphs-for-energy-temp-sensors/158155,13,1880
54,Devices & Integrations,QMotion Shades now support Zigbee 1.2,https://community.smartthings.com/t/qmotion-shades-now-support-zigbee-1-2/48769,10,2266
55,SmartApps & Automations,Emonscms push app,https://community.smartthings.com/t/emonscms-push-app/35025,8,1707
56,Devices & Integrations,Smartthings Button offline,https://community.smartthings.com/t/smartthings-button-offline/186095,5,295
57,FAQ,Integrating WiFi Switches/Plugs that use the Tuya SmartLife App or eWeLink app,https://community.smartthings.com/t/integrating-wifi-switches-plugs-that-use-the-tuya-smartlife-app-or-ewelink-app/116141,94,149019
58,Community Created Device Types,"[RELEASE] Tasmota (Connect) for Sonoff, Tuya, SmartLife & other ESP8266 devices)",https://community.smartthings.com/t/release-tasmota-connect-for-sonoff-tuya-smartlife-other-esp8266-devices/187553,118,4798
59,Devices & Integrations,Soma Smart Shades (HTTP API) Device Handler HELP required!,https://community.smartthings.com/t/soma-smart-shades-http-api-device-handler-help-required/174802,21,472
60,Community Created SmartApps,[RELEASE] Simple Event Logger,https://community.smartthings.com/t/release-simple-event-logger/69879,482,32889
61,Community Created Device Types,[BETA] Verisure Integration,https://community.smartthings.com/t/beta-verisure-integration/95105,77,7304
62,Community Created Device Types,Balboa Hot Tub WiFi Module Integration,https://community.smartthings.com/t/balboa-hot-tub-wifi-module-integration/56640,129,15204
63,General Discussion,500: Internal Server Error. How to fix it? (March 2019),https://community.smartthings.com/t/500-internal-server-error-how-to-fix-it-march-2019/159373,52,2869
